Movie ID,Remake Title,Remake Year,Remake IMDb ID
A Perfect Murder-1998,A Perfect Murder,1998,tt0120787
Pet Sematary-2019,Pet Sematary,2019,tt0837563
A Place in the Sun-1951,A Place in the Sun,1951,tt0043924
The Phantom Carriage-1958,The Phantom Carriage,1958,
The Phantom of the Opera-2004,The Phantom of the Opera,2004,tt0293508
Picnic-2000,Picnic,2000,tt0240804
Piranha 3-D-2010,Piranha 3-D,2010,
Planet of the Apes-2001,Planet of the Apes,2001,tt0133152
The Plank-1979,The Plank,1979,tt0079722
Pocketful of Miracles-1961,Pocketful of Miracles,1961,tt0055312
Point Break-2015,Point Break,2015,tt2058673
Point of No Return-1993,Point of No Return,1993,tt0107843
Poltergeist-2015,Poltergeist,2015,tt1029360
Porki-2010,Porki,2010,tt1651934
Poseidon-2006,Poseidon,2006,tt0409182
The Preacher's Wife-1996,The Preacher's Wife,1996,tt0117372
Premonition-2007,Premonition,2007,tt0477071
Pride & Prejudice-2005,Pride & Prejudice,2005,tt0414387
The Prime Minister-1941,The Prime Minister,1941,tt0034065
The Prince and the Pauper-2007,The Prince and the Pauper,2007,
The Prisoner of Zenda-1979,The Prisoner of Zenda,1979,tt0079753
The Producers-2005,The Producers,2005,tt0395251
Prom Night-2008,Prom Night,2008,tt0926129
Psycho-1998,Psycho,1998,tt0155975
Pulse-2006,Pulse,2006,tt0454919
Quarantine-2008,Quarantine,2008,tt1082868
The Rainmaker-1982,The Rainmaker,1982,tt0084568
Ram Gopal Varma Ki Aag-2007,Ram Gopal Varma Ki Aag,2007,
Rangrezz-2013,Rangrezz,2013,tt2706264
Ransom-1996,Ransom,1996,tt0117438
The Razor's Edge-1984,The Razor's Edge,1984,tt0087980
Rear Window-1998,Rear Window,1998,tt0166322
Red Dawn-2012,Red Dawn,2012,tt1234719
Rebecca-1997,Rebecca,1997,
The Red Badge of Courage-1974,The Red Badge of Courage,1974,tt0072069
Red Dragon-2002,Red Dragon,2002,tt0289765
Reefer Madness-2005,Reefer Madness,2005,
Return to Paradise-1998,Return to Paradise,1998,tt0124595
Reptilian-1999,Reptilian,1999,
Rich and Famous-1981,Rich and Famous,1981,tt0082992
Riding High-1950,Riding High,1950,tt0042893
The Ring-2002,The Ring,2002,tt0298130
Rio Lobo-1970,Rio Lobo,1970,tt0066301
Robin Hood-2018,Robin Hood,2018,tt4532826
RoboCop-2014,RoboCop,2014,tt1234721
Rock-A-Bye Baby-1958,Rock-A-Bye Baby,1958,
Rollerball-2002,Rollerball,2002,tt0246894
Rogue Male-1976,Rogue Male,1976,tt0075151
The Roman Spring of Mrs. Stone-2003,The Roman Spring of Mrs. Stone,2003,tt0311730
The Roommate-2011,The Roommate,2011,tt1265990
Run for the Sun-1956,Run for the Sun,1956,tt0049696
Runaway Daughters-1994,Runaway Daughters,1994,
Sabrina-1995,Sabrina,1995,tt0114319
Sahara-1995,Sahara,1995,tt0114324
Satan's School for Girls-2000,Satan's School for Girls,2000,tt0203088
Saturday's Children-1940,Saturday's Children,1940,tt0033024
Scandal Maker-2016,Scandal Maker,2016,tt5936462
